Pali Text,English Translation,Contexts,Usage Count
Sālasuttaṃ,,Section Title: sn.5.3/Section 370 | Section Title: sn.5.4/Section 521,2
Sārajjasuttaṃ,,Section Title: an5.16/Section 158 | Section Title: an5.18/Section 171,2
Sārandadasuttaṃ,,Section Title: an5.15/Section 143 | Section Title: an7.3/Section 21,2
Sāriputtasuttaṃ,,Section Title: sn.1.8/Section 214 | Section Title: an3.4/Section 33,2
Sāvajjasuttaṃ,,Section Title: an3.1/Section 7 | Section Title: an3.15/Section 148,2
Sīhasenāpatisuttaṃ,,Section Title: an5.4/Section 34 | Section Title: an7.6/Section 57,2
Sīlavantasuttaṃ,,Section Title: an5.9/Section 87 | Section Title: an3.5/Section 46,2
Sūcilomasuttaṃ,,Section Title: sn.2.8/Section 209 | Section Title: sn.1.10/Section 237,2
Tathasuttaṃ,,Section Title: sn.5.12/Section 1090 | Section Title: sn.5.12/Section 1097,2
Tathāgatasuttaṃ,,Section Title: sn.5.12/Section 1082 | Section Title: sn.5.7/Section 844,2
Taṇhakkhayasuttaṃ,,Section Title: sn.5.2/Section 207 | Section Title: sn.5.8/Section 905,2
Taṇhāsuttaṃ,,Section Title: sn.2.7/Section 195 | Section Title: sn.1.1/Section 63,2
Udāyīsuttaṃ,,Section Title: sn.4.1/Section 234 | Section Title: an5.16/Section 159,2
Upakkilesasuttaṃ,,Section Title: sn.5.2/Section 214 | Section Title: an5.3/Section 23,2
Uṇṇābhabrāhmaṇasuttaṃ,,Section Title: sn.5.4/Section 512 | Section Title: sn.5.7/Section 827,2
Vacchagottasuttaṃ,,Section Title: sn.4.10/Section 417 | Section Title: an3.6/Section 58,2
Vajjiputtasuttaṃ,,Section Title: sn.1.9/Section 229 | Section Title: an3.9/Section 85,2
Vedanāsuttaṃ,,Section Title: sn.5.3/Section 415 | Section Title: sn.2.7/Section 192,2
Virāgasuttaṃ,,Section Title: sn.5.2/Section 256 | Section Title: sn.5.3/Section 398,2
Visāradasuttaṃ,,Section Title: sn.4.3/Section 304 | Section Title: an5.18/Section 172,2
Viññāṇasuttaṃ,,Section Title: sn.2.1/Section 59 | Section Title: sn.2.7/Section 190,2
Yodhājīvasuttaṃ,,Section Title: sn.4.8/Section 355 | Section Title: an3.14/Section 134,2
Ñāṇasuttaṃ,,Section Title: sn.5.7/Section 821 | Section Title: sn.4.2/Section 273,2
Ādittasuttaṃ,,Section Title: sn.1.1/Section 41 | Section Title: sn.4.1/Section 28,2
Āhārasuttaṃ,,Section Title: sn.5.2/Section 232 | Section Title: sn.2.1/Section 11,2
Ājīvakasuttaṃ,,Section Title: an5.28/Section 293 | Section Title: an3.8/Section 73,2
Ṭhānasuttaṃ,,Section Title: sn.5.8/Section 913 | Section Title: sn.4.3/Section 311,2
Abbhokāsikasuttaṃ,,Section Title: an5.19/Section 185,1
Abhayasuttaṃ,,Section Title: sn.5.2/Section 237,1
Abhibhuyyasuttaṃ,,Section Title: sn.4.3/Section 306,1
Abhinandasuttaṃ,,Section Title: sn.2.3/Section 119,1
Abhisamayavaggo,,Vagga Title: sn.5.12/Section 1121,1
Abhiññāpariññāpahānasuttaṃ,,Section Title: sn.4.1/Section 25,1
Abhiṇhapaccavekkhitabbaṭhānasuttaṃ,,Section Title: an5.6/Section 57,1
Abyākatasuttaṃ,,Section Title: an7.6/Section 54,1
Acariṃsuttaṃ,,Section Title: sn.2.3/Section 116,1
Accentisuttaṃ,,Section Title: sn.1.1/Section 4,1
Accharāsuttaṃ,,Section Title: sn.1.1/Section 46,1
Accāyikasuttaṃ,,Section Title: an3.10/Section 93,1
Acirapakkantasuttaṃ,,Section Title: sn.2.6/Section 184,1
Adaliddasuttaṃ,,Section Title: sn.5.2/Section 228,1
Adantaaguttasuttaṃ,,Section Title: sn.4.1/Section 94,1
Addhabhūtasuttaṃ,,Section Title: sn.4.1/Section 29,1
Addhavaggo,,Vagga Title: sn.1.1/Section 61,1
Adhikaraṇasamathasuttaṃ,,Section Title: an7.8/Section 84,1
Adinnādānasuttaṃ,,Section Title: sn.5.12/Section 1142,1
Aggikasuttaṃ,,Section Title: sn.1.7/Section 194,1
Aggikkhandhopamasuttaṃ,,Section Title: an7.7/Section 72,1
Agārasuttaṃ,,Section Title: sn.4.2/Section 262,1
Ahirikamūlakasuttaṃ,,Section Title: sn.2.3/Section 103,1
Ahiṃsakasuttaṃ,,Section Title: sn.1.7/Section 191,1
Ajarasāsuttaṃ,,Section Title: sn.1.1/Section 52,1
Ajeḷakasuttaṃ,,Section Title: sn.5.12/Section 1158,1
Ajjhattaaniccachandarāgasuttaṃ,,Section Title: sn.4.1/Section 170,1
Ajjhattaaniccachandasuttaṃ,,Section Title: sn.4.1/Section 168,1
Ajjhattaaniccanandikkhayasuttaṃ,,Section Title: sn.4.1/Section 158,1
Ajjhattaaniccarāgasuttaṃ,,Section Title: sn.4.1/Section 169,1
Ajjhattadukkhahetusuttaṃ,,Section Title: sn.4.1/Section 141,1
Ajjhattadukkhasuttaṃ,,Section Title: sn.4.1/Section 2,1
Ajjhattadukkhātītānāgatasuttaṃ,,Section Title: sn.4.1/Section 8,1
Ajjhattanandikkhayasuttaṃ,,Section Title: sn.4.1/Section 156,1
Ajjhattapaccuppannayadaniccasuttaṃ,,Section Title: sn.4.1/Section 206,1
Ajjhattapaccuppannāniccasuttaṃ,,Section Title: sn.4.1/Section 188,1
Ajjhattikaṅgasuttaṃ,,Section Title: sn.5.2/Section 230,1
Ajjhattikāyatanaparijānanasuttaṃ,,Section Title: sn.4.1/Section 111,1
Ajjhattikāyatanasuttaṃ,,Section Title: sn.5.12/Section 1084,1
Ajjhattānattahetusuttaṃ,,Section Title: sn.4.1/Section 142,1
Ajjhattānattasuttaṃ,,Section Title: sn.4.1/Section 3,1
Ajjhattānattātītānāgatasuttaṃ,,Section Title: sn.4.1/Section 9,1
Ajjhattāniccahetusuttaṃ,,Section Title: sn.4.1/Section 140,1
Ajjhattāniccasuttaṃ,,Section Title: sn.4.1/Section 1,1
Ajjhattāniccātītānāgatasuttaṃ,,Section Title: sn.4.1/Section 7,1
Ajjhattānāgatayadaniccasuttaṃ,,Section Title: sn.4.1/Section 205,1
Ajjhattānāgatāniccasuttaṃ,,Section Title: sn.4.1/Section 187,1
Ajjhattātītayadaniccasuttaṃ,,Section Title: sn.4.1/Section 204,1
Ajjhattātītādianattasuttaṃ,,Section Title: sn.4.1/Section 192,1
Ajjhattātītādidukkhasuttaṃ,,Section Title: sn.4.1/Section 189,1
Ajjhattātītādiyadanattasuttaṃ,,Section Title: sn.4.1/Section 210,1
Ajjhattātītādiyaṃdukkhasuttaṃ,,Section Title: sn.4.1/Section 207,1
Ajjhattātītāniccasuttaṃ,,Section Title: sn.4.1/Section 186,1
Ajjhattāyatanaanattasuttaṃ,,Section Title: sn.4.1/Section 224,1
Ajjhattāyatanaaniccasuttaṃ,,Section Title: sn.4.1/Section 222,1
Ajjhattāyatanadukkhasuttaṃ,,Section Title: sn.4.1/Section 223,1
Akkhamasuttaṃ,,Section Title: an5.9/Section 85,1
Akkodhanasuttaṃ,,Section Title: sn.4.3/Section 294,1
Akkodhasuttaṃ,,Section Title: sn.1.11/Section 271,1
Akkosakasuttaṃ,,Section Title: an5.22/Section 211,1
Akkosasuttaṃ,,Section Title: sn.1.7/Section 188,1
Akusalamūlasuttaṃ,,Section Title: an3.7/Section 70,1
Akusalavitakkasuttaṃ,,Section Title: sn.1.9/Section 231,1
Alabbhanīyaṭhānasuttaṃ,,Section Title: an5.5/Section 48,1
Amaccharīsuttaṃ,,Section Title: sn.4.3/Section 297,1
Amatasuttaṃ,,Section Title: sn.5.3/Section 407,1
Amatavaggo,,Vagga Title: sn.5.3/Section 407,1
Ambapālisuttaṃ,,Section Title: sn.5.3/Section 367,1
Ambapālivaggo,,Vagga Title: sn.5.3/Section 367,1
Ambapālivanasuttaṃ,,Section Title: sn.5.8/Section 907,1
Anabhiratisuttaṃ,,Section Title: sn.5.2/Section 251,1
Ananussutavaggo,,Vagga Title: sn.5.3/Section 397,1
Anatasuttaṃ,,Section Title: sn.4.9/Section 378,1
Anaticārīsuttaṃ,,Section Title: sn.4.3/Section 298,1
Anattachandādisuttaṃ,,Section Title: sn.4.1/Section 174,1
Anattanibbānasappāyasuttaṃ,,Section Title: sn.4.1/Section 149,1
Anattasuttaṃ,,Section Title: sn.5.2/Section 254,1
Anattānupassīsuttaṃ,,Section Title: an7.2/Section 18,1
Andhakavindasuttaṃ,,Section Title: sn.1.6/Section 184,1
Andhakārasuttaṃ,,Section Title: sn.5.12/Section 1116,1
Andhasuttaṃ,,Section Title: an3.3/Section 29,1
Aniccanibbānasappāyasuttaṃ,,Section Title: sn.4.1/Section 147,1
Aniccavaggo,,Vagga Title: sn.4.1/Section 1,1
Aniccānupassīsuttaṃ,,Section Title: an7.2/Section 16,1
Animittapañhāsuttaṃ,,Section Title: sn.4.6/Section 340,1
Anissukīsuttaṃ,,Section Title: sn.4.3/Section 296,1
Annasuttaṃ,,Section Title: sn.1.1/Section 43,1
Anomasuttaṃ,,Section Title: sn.1.1/Section 45,1
Anottappamūlakasuttaṃ,,Section Title: sn.2.3/Section 104,1
Anottappīsuttaṃ,,Section Title: sn.2.5/Section 145,1
Antarapeyyālaṃ,,Vagga Title: sn.2.1/Section 73,1
Antevāsikasuttaṃ,,Section Title: sn.4.1/Section 151,1
Anuggahitasuttaṃ,,Section Title: an5.3/Section 25,1
Anukampasuttaṃ,,Section Title: an5.24/Section 235,1
Anupakkilesasuttaṃ,,Section Title: sn.5.2/Section 215,1
Anupanāhīsuttaṃ,,Section Title: sn.4.3/Section 295,1
Anuruddhasuttaṃ,,Section Title: sn.1.9/Section 226,1
Anurādhasuttaṃ,,Section Title: sn.4.10/Section 411,1
Anusayapahānasuttaṃ,,Section Title: sn.4.1/Section 58,1
Anusayasamugghātasuttaṃ,,Section Title: sn.4.1/Section 59,1
Anāgāmiphalasuttaṃ,,Section Title: sn.5.11/Section 1053,1
Anāsavādisuttaṃ,,Section Title: sn.4.9/Section 379,1
Anāthapiṇḍikasuttaṃ,,Section Title: sn.1.2/Section 101,1
Anāthapiṇḍikavaggo,,Vagga Title: sn.1.2/Section 92,1
Apagatasuttaṃ,,Section Title: sn.2.7/Section 201,1
Aparadutiyajhānasuttādisattakaṃ,,Section Title: an5.26/Section 265,1
Aparapaṭhamajhānasuttaṃ,,Section Title: an5.26/Section 264,1
Aparihāniyasuttaṃ,,Section Title: sn.5.2/Section 206,1
Appakasuttaṃ,,Section Title: sn.1.3/Section 117,1
Appamattapaññāsuttaṃ,,Section Title: sn.5.11/Section 1062,1
Appameyyasuttaṃ,,Section Title: an3.12/Section 116,1
Appamādagāravasuttaṃ,,Section Title: an7.4/Section 32,1
Appamādasuttaṃ,,Section Title: sn.1.3/Section 128,1
Appassutamūlakasuttaṃ,,Section Title: sn.2.3/Section 105,1
Appassutasuttaṃ,,Section Title: sn.4.3/Section 290,1
Appaṭividitasuttaṃ,,Section Title: sn.1.1/Section 7,1
