# Pali Buddhist Terms for Translation
# Total: 1603 terms
# Format: Pali Term | Usage Count | Sample Context

Assāsappattasuttaṃ | 1 uses | Section Title: sn.4.4/Section 318
Asubhasuttaṃ | 1 uses | Section Title: sn.5.2/Section 248
Asucisuttaṃ | 1 uses | Section Title: an3.15/Section 150
Asurindakasuttaṃ | 1 uses | Section Title: sn.1.7/Section 189
Asīsakasuttaṃ | 1 uses | Section Title: sn.2.8/Section 217
Aticārīsuttaṃ | 1 uses | Section Title: sn.4.3/Section 288
Atinivāsasuttaṃ | 1 uses | Section Title: an5.23/Section 223
Atittisuttaṃ | 1 uses | Section Title: an3.11/Section 109
Attabyābādhasuttaṃ | 1 uses | Section Title: an3.2/Section 17
Attahatasuttaṃ | 1 uses | Section Title: sn.1.1/Section 66
Attarakkhitasuttaṃ | 1 uses | Section Title: sn.1.3/Section 116
Atthavasasuttaṃ | 1 uses | Section Title: an3.5/Section 43
Atthinukhopariyāyasuttaṃ | 1 uses | Section Title: sn.4.1/Section 153
Atthirāgasuttaṃ | 1 uses | Section Title: sn.2.1/Section 64
Attānudiṭṭhipahānasuttaṃ | 1 uses | Section Title: sn.4.1/Section 167
Avakujjasuttaṃ | 1 uses | Section Title: an3.3/Section 30
Avassutapariyāyasuttaṃ | 1 uses | Section Title: sn.4.1/Section 243
Avijjāpaccayasuttaṃ | 1 uses | Section Title: sn.2.1/Section 35
Avijjāpahānasuttaṃ | 1 uses | Section Title: sn.4.1/Section 53
Avijjāpañhāsuttaṃ | 1 uses | Section Title: sn.4.4/Section 322
Avijjāsuttaṃ | 1 uses | Section Title: sn.5.12/Section 1087
Avijjāvaggo | 1 uses | Vagga Title: sn.4.1/Section 53
Ayoguḷasuttaṃ | 1 uses | Section Title: sn.5.7/Section 834
Ayoguḷavaggo | 1 uses | Vagga Title: sn.5.7/Section 833
Ayonisosuttaṃ | 1 uses | Section Title: an3.1/Section 5
Ayyikāsuttaṃ | 1 uses | Section Title: sn.1.3/Section 133
Aññatarabhikkhusuttaṃ | 1 uses | Section Title: sn.4.2/Section 271
Aññatarabrahmasuttaṃ | 1 uses | Section Title: sn.1.6/Section 176
